,power_residuals_under,power_residuals_over,power_undersupply,sourceout_residuals_under,sourceout_residuals_over,sourceout_undersupply,enrichmentout_residuals_under,enrichmentout_residuals_over,enrichmentout_undersupply,mixerout_residuals_under,mixerout_residuals_over,mixerout_undersupply,lwrpu_residuals_under,lwrpu_residuals_over,lwrpu_undersupply,frpu_residuals_under,frpu_residuals_over,frpu_undersupply
arch,65999.66000000018,5121485.959999893,4,0,1431075018568.4944,0,0.0,142979733830.815,0,0,1647748376.4814823,0,1379689633.756591,20883.35374542782,1,420913885.15784633,3802.9725213229603,1
arma,74654.64000000418,4922136.779999938,20,0,1431010858958.8042,0,0.0,142979733830.81503,0,0,1680801004.677495,0,1379689633.756549,20883.35374542782,1,420950395.49150693,1521.1390792053576,1
exp_smoothing,77987.2000000044,5085805.879999892,21,0,2869010836741.368,0,0.0,142979733830.81503,0,0,1605679807.7009153,0,1379689633.756549,20883.35374542782,1,420923773.37321264,2281.7086188080357,1
fft,132000.0,31205175.320000175,4,0,1427935671197.3567,0,16126182.000000047,142553384687.31174,1,0,1702456025.8867996,0,1378546263.801867,20883.35374542782,1,410713079.6333589,46397.23838195503,1
holt_winters,77987.2000000044,5085805.879999892,21,0,2869010836741.368,0,0.0,142979733830.81503,0,0,1605679807.7009153,0,1379689633.756549,20883.35374542782,1,420923773.37321264,2281.7086188080357,1
ma,81987.88000000422,2818466.1999998894,21,0,1431010940699.4756,0,0.0,143004837611.0844,0,0,750688206.8884275,0,1379727892.0235448,20883.35374542782,1,421992990.8807757,6845.125856424109,1
poly,65333.12000000011,5613495.9399999725,4,0,1431010714544.789,0,0.0,142979733830.81503,0,0,1591051220.5449677,0,1379689633.756549,20883.35374542782,1,420827173.1778154,3042.4653933751074,1
