,power_residuals_under,power_residuals_over,power_undersupply,sourceout_residuals_under,sourceout_residuals_over,sourceout_undersupply,enrichmentout_residuals_under,enrichmentout_residuals_over,enrichmentout_undersupply,mixerout_residuals_under,mixerout_residuals_over,mixerout_undersupply,lwrpu_residuals_under,lwrpu_residuals_over,lwrpu_undersupply,frpu_residuals_under,frpu_residuals_over,frpu_undersupply
arch,65666.58000000005,8939504.979999783,3,0,1430978450944.3933,0,0.0,142942078160.41077,0,0,1665198298.9009962,0,1379632174.7322826,20883.35374542782,1,420751109.9202762,760.5695396026766,1
arma,68000.0,9863837.639999637,3,0,1430839327512.3726,0,0.0,142929526270.27606,0,0,1708719792.624001,0,1379613021.7241387,20883.35374542782,1,410757956.91848254,28142.071551775272,1
exp_smoothing,66999.98000000001,9876504.55999963,3,0,2868839329362.461,0,0.0,142929526270.27606,0,0,1676955445.959556,0,1379613021.7241387,20883.35374542782,1,411754152.6353167,22818.771302760284,1
fft,121666.60000000003,7380845.639999813,3,0,1430600187473.7058,0,16126182.000000047,142867181940.68015,1,0,1541495047.459643,0,1378670481.4544444,20883.35374542782,1,421699386.94759125,7605.820219336333,1
holt_winters,66999.98000000001,9876504.55999963,3,0,2868839329362.461,0,0.0,142929526270.27606,0,0,1676955445.959556,0,1379613021.7241387,20883.35374542782,1,411754152.6353167,22818.77130276025,1
ma,62999.94000000003,5655496.979999762,2,0,1430839493827.0493,0,0.0,142979733830.81503,0,0,760805156.0765654,0,1379689586.0072813,20883.35374542782,1,421833258.1710116,6845.125856424109,1
poly,62333.26000000004,7390179.139999814,2,0,1430753711143.846,0,0.0,142967181940.6803,0,0,1506236201.9644463,0,1379670432.9991498,20883.35374542782,1,421694823.155884,8366.576993903303,1
