,power_residuals_under,power_residuals_over,power_undersupply,sourceout_residuals_under,sourceout_residuals_over,sourceout_undersupply,enrichmentout_residuals_under,enrichmentout_residuals_over,enrichmentout_undersupply,mixerout_residuals_under,mixerout_residuals_over,mixerout_undersupply,lwrpu_residuals_under,lwrpu_residuals_over,lwrpu_undersupply,frpu_residuals_under,frpu_residuals_over,frpu_undersupply
arch,65666.58000000005,8939504.979999783,3,0,1430978450944.3933,0,0.0,142942078160.41077,0,0,1665198298.9009962,0,1379632174.7322826,20883.35374542782,1,420751109.9202762,760.5695396026766,1
arma,66000.0,20139498.660000246,2,0,1430400599676.6292,0,0.0,142791455478.79373,0,0,2086482682.1999788,0,1379549219.922591,20883.35374542782,1,410830215.6432082,19014.238490066968,1
exp_smoothing,62333.28000000003,7071839.459999846,2,0,2869064081974.9624,0,0.0,142967181940.6803,0,0,1635086793.2444432,0,1379670480.7485003,20883.35374542782,1,420748828.02442384,6084.681140130945,1
fft,132000.0,46732550.3999999,4,0,1428812634604.2317,0,16126182.000000047,142377658225.4253,1,0,1341834891.4330847,0,1378546263.7899015,20883.35374542782,1,408332003.96195334,66933.36489108439,1
holt_winters,62333.28000000003,7071839.459999846,2,0,2869064081974.9624,0,0.0,142967181940.6803,0,0,1635086793.2444432,0,1379670480.7485003,20883.35374542782,1,420748828.02442384,6084.681140130936,1
ma,62999.94000000003,5655496.979999762,2,0,1430839493827.0493,0,0.0,142979733830.81503,0,0,760805156.0765654,0,1379689586.0072813,20883.35374542782,1,421833258.1710116,6845.125856424109,1
poly,64666.580000000045,10170177.08000004,3,0,1429683624157.725,0,0.0,142929526270.27606,0,0,1750814294.1730962,0,1379613021.738269,20883.35374542782,1,415702429.475397,1521.201490860133,1
