,power_residuals_under,power_residuals_over,power_undersupply,sourceout_residuals_under,sourceout_residuals_over,sourceout_undersupply,enrichmentout_residuals_under,enrichmentout_residuals_over,enrichmentout_undersupply,mixerout_residuals_under,mixerout_residuals_over,mixerout_undersupply,lwrpu_residuals_under,lwrpu_residuals_over,lwrpu_undersupply,frpu_residuals_under,frpu_residuals_over,frpu_undersupply
arch,127976.20000000822,1378777.33999989,41,0,1431096682649.7754,0,0.0,143017389501.21915,0,0,1573340891.857789,0,1379747045.0316763,20883.35374542782,1,422069814.8326781,5324.298835492755,1
arma,147297.2800000125,241094.47999988843,61,0,1426046166753.832,0,0.0,143029941391.354,0,0,1599238198.937183,0,1379766198.039808,20883.35374542782,1,422101761.312219,5324.361247147606,1
exp_smoothing,128316.10000000594,196779.45999988198,31,0,2864046166753.8477,0,0.0,143029941391.354,0,0,1549356392.3440502,0,1379766198.039808,20883.35374542782,1,422105564.4719756,6845.625149662573,1
fft,153312.76000000653,28259133.79999948,29,0,1428128499952.0952,0,16126182.000000047,142578488467.58112,1,0,1824860072.0691824,0,1378546263.972442,20883.35374542782,1,410894109.7257001,38791.2309276543,1
holt_winters,128316.10000000594,196779.45999988198,31,0,2864046166753.8477,0,0.0,143029941391.354,0,0,1549356392.3440502,0,1379766198.039808,20883.35374542782,1,422105564.4719756,6845.62514966254,1
ma,119988.60000000385,448.19999988392374,21,0,1426046212115.2334,0,0.0,143029941391.354,0,0,740571257.700294,0,1379766198.039808,20883.35374542782,1,422152723.5905398,6845.125856424109,1
poly,112951.5200000169,1930097.3199998839,76,0,1430465243573.4949,0,0.0,143017389501.21915,0,0,1459282098.4814873,0,1379747092.7801723,20883.35374542782,1,421975496.40830946,3803.0973446326075,1
