,power_residuals_under,power_residuals_over,power_undersupply,sourceout_residuals_under,sourceout_residuals_over,sourceout_undersupply,enrichmentout_residuals_under,enrichmentout_residuals_over,enrichmentout_undersupply,mixerout_residuals_under,mixerout_residuals_over,mixerout_undersupply,lwrpu_residuals_under,lwrpu_residuals_over,lwrpu_undersupply,frpu_residuals_under,frpu_residuals_over,frpu_undersupply
arch,65666.58000000005,8939504.979999783,3,0,1430978450944.3933,0,0.0,142942078160.41077,0,0,1665198298.9009962,0,1379632174.7322826,20883.35374542782,1,420751109.9202762,760.5695396026766,1
arma,68000.0,9677167.23999968,3,0,1430839372873.5378,0,0.0,142929526270.27606,0,0,1812418554.4666977,0,1379613021.7241387,20883.35374542782,1,410788382.5085909,23577.967785956836,1
exp_smoothing,68000.0,9841170.519999627,3,0,2868839339547.5527,0,0.0,142929526270.27606,0,0,1694982046.8926547,0,1379613021.7241387,20883.35374542782,1,410760239.3760415,26620.245944367518,1
fft,121999.94000000003,8451181.179999767,3,0,1430685744927.763,0,16126182.000000047,142854630050.5454,1,0,1568660754.913327,0,1378651376.18854,20883.35374542782,1,421668961.73195326,3803.0973446326166,1
holt_winters,68000.0,9841170.519999627,3,0,2868839339547.5527,0,0.0,142929526270.27606,0,0,1694982046.8926547,0,1379613021.7241387,20883.35374542782,1,410760239.3760415,26620.245944367514,1
ma,62999.94000000003,5655496.979999762,2,0,1430839493827.0493,0,0.0,142979733830.81503,0,0,760805156.0765654,0,1379689586.0072813,20883.35374542782,1,421833258.1710116,6845.125856424109,1
poly,63666.560000000056,9386847.279999927,3,0,1430914152475.3093,0,0.0,142942078160.41092,0,0,1709666055.8770285,0,1379632174.7322612,20883.35374542782,1,419673525.586072,3803.0349329777214,1
