,power_residuals_under,power_residuals_over,power_undersupply,sourceout_residuals_under,sourceout_residuals_over,sourceout_undersupply,enrichmentout_residuals_under,enrichmentout_residuals_over,enrichmentout_undersupply,mixerout_residuals_under,mixerout_residuals_over,mixerout_undersupply,lwrpu_residuals_under,lwrpu_residuals_over,lwrpu_undersupply,frpu_residuals_under,frpu_residuals_over,frpu_undersupply
arch,65666.58000000005,8939504.979999783,3,0,1430978450944.393,0,0.0,142942078160.41077,0,0,1665198299.319253,0,1379632174.7321563,20883.35374542782,1,420751109.9202762,760.5695396026766,1
arma,68000.0,9680833.979999676,3,0,1430839369170.7012,0,0.0,142929526270.27606,0,0,1811394594.9181771,0,1379613021.7241387,20883.35374542782,1,410790664.4668566,22817.273423044557,1
exp_smoothing,68000.0,10042507.880000072,3,0,2868839305295.5454,0,0.0,142929526270.27606,0,0,1639802016.4891453,0,1379613021.7241387,20883.35374542782,1,410732095.9938449,29662.77374939709,1
fft,132000.0,34175863.00000005,4,0,1427742842442.8098,0,16126182.000000047,142528280907.04218,1,0,1567619594.9325283,0,1378546263.7448435,20883.35374542782,1,410530528.33952653,54003.18342460077,1
holt_winters,68000.0,10042507.880000072,3,0,2868839305295.5454,0,0.0,142929526270.27606,0,0,1639802016.4891453,0,1379613021.7241387,20883.35374542782,1,410732095.9938449,29662.77374939712,1
ma,62999.94000000003,5655496.979999762,2,0,1430839493827.0493,0,0.0,142979733830.81503,0,0,760805156.0765654,0,1379689586.0072813,20883.35374542782,1,421833258.1710116,6845.125856424109,1
poly,64666.580000000045,9445181.779999884,3,0,1430914137663.553,0,0.0,142942078160.41092,0,0,1684175876.014286,0,1379632174.7322612,20883.35374542782,1,419659834.1485386,2281.833442117614,1
