,power_residuals_under,power_residuals_over,power_undersupply,sourceout_residuals_under,sourceout_residuals_over,sourceout_undersupply,enrichmentout_residuals_under,enrichmentout_residuals_over,enrichmentout_undersupply,mixerout_residuals_under,mixerout_residuals_over,mixerout_undersupply,lwrpu_residuals_under,lwrpu_residuals_over,lwrpu_undersupply,frpu_residuals_under,frpu_residuals_over,frpu_undersupply
arch,8640261.700000014,12240802.89999982,245,0,1426096795904.6943,0,16126182.000000047,143033255510.1937,1,2207380258.2951336,10594271.50537029,442,1379771470.0430331,20883.35374542782,1,423312986.2908212,150604.75187905552,1
arma,8335922.040000011,9677751.399999846,246,0,1426087287467.5127,0,16126182.000000047,143033255510.1937,1,1610315730.3856592,9453685.146693116,448,1379771470.0430331,20883.35374542782,1,850716881.8569393,92796.72358348542,1
exp_smoothing,11141534.780000009,8575285.979999876,355,0,2815214228816.778,0,16126182.000000047,286783255510.19385,1,748236435.3272237,7942795.587464138,458,1379771470.0368686,20883.35374542782,1,851424269.5716088,155168.54358660054,1
fft,9615514.460000012,8366626.53999988,334,0,1425119619019.3716,0,32252364.000000093,142934581157.72955,2,1347491563.448662,7998245.877462197,444,1378773511.0065494,20883.35374542782,1,424405253.398357,239598.6901761811,1
holt_winters,11141534.780000009,8575285.979999876,355,0,2815214228816.778,0,16126182.000000047,286783255510.19385,1,748236435.6256436,7942795.584594717,458,1379771470.0369918,20883.35374542782,1,851424269.5716088,155168.5435866005,1
ma,2842595.0000000065,10684887.699999806,116,0,1426095998850.8552,0,16126182.000000047,143033255510.1937,1,3288811007.978927,18730305.903802536,443,1379771470.0430331,20883.35374542782,1,422799559.3492527,155168.5435866005,1
poly,10507855.32000002,8449950.01999989,356,0,1426098035457.6455,0,16126182.000000047,143033255510.1937,1,1176280623.4586246,8128365.978624187,445,1379771470.0430331,20883.35374542782,1,424331472.47355497,223625.4191997737,1
