,power_residuals_under,power_residuals_over,power_undersupply,sourceout_residuals_under,sourceout_residuals_over,sourceout_undersupply,enrichmentout_residuals_under,enrichmentout_residuals_over,enrichmentout_undersupply,mixerout_residuals_under,mixerout_residuals_over,mixerout_undersupply,lwrtru_residuals_under,lwrtru_residuals_over,lwrtru_undersupply,frtru_residuals_under,frtru_residuals_over,frtru_undersupply
arch,60000.0,2276506.319999842,1,0,1426048569438.8513,0,0.0,143029941391.354,0,0,1366092041.4342747,0,1379638634.6805637,23054.004926301215,1,423409993.1152283,14756.138485227277,1
arma,60000.0,2082169.0999998713,1,0,1426048593855.6602,0,0.0,143029941391.354,0,0,1396618992.345329,0,1379638634.6805637,23054.004926301215,1,423464099.19741946,19674.88144844413,1
exp_smoothing,60000.0,2235505.499999842,1,0,2864048576870.038,0,0.0,143029941391.354,0,0,1298197833.1959403,0,1379638634.6805637,23054.004926301215,1,423435406.5301357,18855.090954574665,1
fft,120000.0,2725515.299999857,2,0,1425049659641.8452,0,16126182.000000047,142929941391.354,1,0,1306480561.8686748,0,1378638634.680603,23054.004926301215,1,423323915.11337245,13116.557497488311,1
holt_winters,60000.0,2235505.499999842,1,0,2864048576870.038,0,0.0,143029941391.354,0,0,1298197833.1959403,0,1379638634.6805637,23054.004926301215,1,423435406.5301357,18855.090954574665,1
ma,60000.0,1860497.9999998817,1,0,1426048614556.8252,0,0.0,143029941391.354,0,0,685122690.6233763,0,1379638634.6805637,23054.004926301215,1,423491972.16461647,9837.395522010453,1
poly,60000.0,2691847.9599998565,1,0,1426048520605.2908,0,0.0,143029941391.354,0,0,1251179493.78008,0,1379638634.6805637,23054.004926301215,1,423334572.3897923,14756.138485227277,1
