,power_residuals_under,power_residuals_over,power_undersupply,sourceout_residuals_under,sourceout_residuals_over,sourceout_undersupply,enrichmentout_residuals_under,enrichmentout_residuals_over,enrichmentout_undersupply,mixerout_residuals_under,mixerout_residuals_over,mixerout_undersupply,lwrtru_residuals_under,lwrtru_residuals_over,lwrtru_undersupply,frtru_residuals_under,frtru_residuals_over,frtru_undersupply
arch,60000.0,2276506.319999842,1,0,1426048569438.8513,0,0.0,143029941391.354,0,0,1366092041.4342747,0,1379638634.6805637,23054.004926301215,1,423409993.1152283,14756.138485227246,1
arma,60000.0,2239172.239999841,1,0,1426048574216.0535,0,0.0,143029941391.354,0,0,1335009426.91913,0,1379638634.6805637,23054.004926301215,1,423417371.2296736,19674.88144844413,1
exp_smoothing,60000.0,2254839.2199998414,1,0,2864048573154.4478,0,0.0,143029941391.354,0,0,1295318719.0412858,0,1379638634.6805637,23054.004926301215,1,423430487.7871717,17215.509966835696,1
fft,120000.0,2479177.039999852,2,0,1425049688309.1013,0,16126182.000000047,142929941391.354,1,0,1332699924.6014428,0,1378638640.9859889,23054.004926301215,1,423374742.12399393,9837.395522010453,1
holt_winters,60000.0,2254839.2199998414,1,0,2864048573154.4478,0,0.0,143029941391.354,0,0,1295318719.0412858,0,1379638634.6805637,23054.004926301215,1,423430487.7871717,17215.509966835696,1
ma,60000.0,1860497.9999998817,1,0,1426048614556.8252,0,0.0,143029941391.354,0,0,685122690.6233763,0,1379638634.6805637,23054.004926301215,1,423491972.16461647,9837.395522010453,1
poly,60000.0,2614513.0799998534,1,0,1426048528036.4878,0,0.0,143029941391.354,0,0,1347099443.456045,0,1379638634.6805637,23054.004926301215,1,423346049.4567062,9837.395522010453,1
