,power_residuals_under,power_residuals_over,power_undersupply,sourceout_residuals_under,sourceout_residuals_over,sourceout_undersupply,enrichmentout_residuals_under,enrichmentout_residuals_over,enrichmentout_undersupply,mixerout_residuals_under,mixerout_residuals_over,mixerout_undersupply,lwrtru_residuals_under,lwrtru_residuals_over,lwrtru_undersupply,frtru_residuals_under,frtru_residuals_over,frtru_undersupply
arch,60000.0,1320153.8599998665,1,0,1426048683029.945,0,0.0,143029941391.354,0,0,1511928031.943548,0,1379638634.6805637,23054.004926301215,1,423585428.2357143,7378.069242613632,1
arma,67654.52000000424,1036469.2199998787,19,0,1426048715408.721,0,0.0,143029941391.354,0,0,1532135192.6091857,0,1379638634.6805637,23054.004926301215,1,423641173.9892986,9837.44072422209,1
exp_smoothing,70987.0200000045,1473477.059999874,21,0,2864048673475.5635,0,0.0,143029941391.354,0,0,1449667976.3856578,0,1379638634.6805637,23054.004926301215,1,423564933.47336787,9837.44072422209,1
fft,120333.22000000006,1751829.0399998804,3,0,1425049779075.8,0,16126182.000000047,142929941391.354,1,0,1450999854.4631193,0,1378638640.9859889,23054.004926301215,1,423506728.3483029,7378.069242613622,1
holt_winters,70987.0200000045,1473477.059999874,21,0,2864048673475.5635,0,0.0,143029941391.354,0,0,1449667976.3856578,0,1379638634.6805637,23054.004926301215,1,423564933.47336787,9837.44072422209,1
ma,79987.80000000427,920466.5999998839,21,0,1426048729209.5098,0,0.0,143029941391.354,0,0,743502575.079286,0,1379638634.6805637,23054.004926301215,1,423669046.8660902,4918.697761005226,1
poly,60333.22000000006,1783496.3399998504,2,0,1426048629949.9866,0,0.0,143029941391.354,0,0,1338907139.411973,0,1379638634.6805637,23054.004926301215,1,423503449.18632764,8197.859736483088,1
