,power_residuals_under,power_residuals_over,power_undersupply,sourceout_residuals_under,sourceout_residuals_over,sourceout_undersupply,enrichmentout_residuals_under,enrichmentout_residuals_over,enrichmentout_undersupply,mixerout_residuals_under,mixerout_residuals_over,mixerout_undersupply,lwrtru_residuals_under,lwrtru_residuals_over,lwrtru_undersupply,frtru_residuals_under,frtru_residuals_over,frtru_undersupply
arch,60000.0,2276506.319999842,1,0,1426048569438.8513,0,0.0,143029941391.354,0,0,1366092041.4342747,0,1379638634.6805637,23054.004926301215,1,423409993.1152283,14756.138485227277,1
arma,60000.0,1982833.779999848,1,0,1426048602879.244,0,0.0,143029941391.354,0,0,1365436537.2736409,0,1379638634.6805637,23054.004926301215,1,423482954.3787792,19674.88144844413,1
exp_smoothing,60000.0,1953499.859999884,1,0,2864048607125.6455,0,0.0,143029941391.354,0,0,1383202836.699947,0,1379638634.6805637,23054.004926301215,1,423487053.33124655,18855.090954574665,1
fft,120000.0,3186524.5199998603,2,0,1425049611343.1592,0,16126182.000000047,142929941391.354,1,0,1161525613.6545134,0,1378638640.9859889,23054.004926301215,1,423247674.59744346,15575.928979096714,1
holt_winters,60000.0,1953499.859999884,1,0,2864048607125.6455,0,0.0,143029941391.354,0,0,1383202836.699947,0,1379638634.6805637,23054.004926301215,1,423487053.33124655,18855.090954574665,1
ma,60000.0,1860497.9999998817,1,0,1426048614556.8252,0,0.0,143029941391.354,0,0,685122690.6233763,0,1379638634.6805637,23054.004926301215,1,423491972.16461647,9837.395522010453,1
poly,60000.0,2637513.539999858,1,0,1426048524851.689,0,0.0,143029941391.354,0,0,1295993454.0143762,0,1379638634.6805637,23054.004926301215,1,423344409.8757199,16395.719472966208,1
