,power_residuals_under,power_residuals_over,power_undersupply,sourceout_residuals_under,sourceout_residuals_over,sourceout_undersupply,enrichmentout_residuals_under,enrichmentout_residuals_over,enrichmentout_undersupply,mixerout_residuals_under,mixerout_residuals_over,mixerout_undersupply,lwrtru_residuals_under,lwrtru_residuals_over,lwrtru_undersupply,frtru_residuals_under,frtru_residuals_over,frtru_undersupply
arch,127309.48000000825,426777.4599998866,41,0,1426048797682.629,0,0.0,143029941391.354,0,0,1619416343.0273438,0,1379638634.6805637,23054.004926301215,1,423762502.9447219,819.7829601675376,1
arma,147297.2800000125,241094.47999988843,61,0,1426048817853.0269,0,0.0,143029941391.354,0,0,1707478599.8046064,0,1379638634.6805637,23054.004926301215,1,421798573.72645265,5738.525923384369,1
exp_smoothing,128316.10000000594,196779.45999988198,31,0,2864048817853.034,0,0.0,143029941391.354,0,0,1656180734.8701794,0,1379638634.6805637,23054.004926301215,1,421802672.67892236,7378.10691112335,1
fft,155975.52000000858,841785.7599998869,42,0,1425049891078.315,0,16126182.000000047,142929941391.354,1,0,1564158825.1941187,0,1378638646.9005625,23054.004926301215,1,423680523.8953349,819.7829601675376,1
holt_winters,128316.10000000594,196779.45999988198,31,0,2864048817853.034,0,0.0,143029941391.354,0,0,1656180734.8701794,0,1379638634.6805637,23054.004926301215,1,421802672.67892236,7378.106911123348,1
ma,119988.60000000385,448.19999988392374,21,0,1426048843862.2368,0,0.0,143029941391.354,0,0,793370452.1005392,0,1379638634.6805637,23054.004926301215,1,421853499.6820086,7378.04664150784,1
poly,114617.6000000172,883428.2999998934,78,0,1426048741948.6917,0,0.0,143029941391.354,0,0,1493879931.8039384,0,1379638634.6805637,23054.004926301215,1,421676424.9654668,7378.084310017484,1
