,power_residuals_under,power_residuals_over,power_undersupply,sourceout_residuals_under,sourceout_residuals_over,sourceout_undersupply,enrichmentout_residuals_under,enrichmentout_residuals_over,enrichmentout_undersupply,mixerout_residuals_under,mixerout_residuals_over,mixerout_undersupply,lwrtru_residuals_under,lwrtru_residuals_over,lwrtru_undersupply,frtru_residuals_under,frtru_residuals_over,frtru_undersupply
arch,60000.0,2276506.319999842,1,0,1426048569438.8513,0,0.0,143029941391.354,0,0,1366092041.4342747,0,1379638634.6805637,23054.004926301215,1,423409993.1152283,14756.138485227246,1
arma,60000.0,1991167.2799998482,1,0,1426048600756.0354,0,0.0,143029941391.354,0,0,1385618592.0462446,0,1379638634.6805637,23054.004926301215,1,423483774.16927266,19674.88144844413,1
exp_smoothing,60000.0,2424842.61999986,1,0,2864048558822.874,0,0.0,143029941391.354,0,0,1284178942.9200575,0,1379638634.6805637,23054.004926301215,1,423406713.86284935,18855.090954574665,1
fft,120000.0,2722181.8999998565,2,0,1425049662299.9224,0,16126182.000000047,142929941391.354,1,0,1370217846.8110263,0,1378638640.9857295,23054.004926301215,1,423323095.32287914,14756.138485227277,1
holt_winters,60000.0,2424842.61999986,1,0,2864048558822.874,0,0.0,143029941391.354,0,0,1284178942.9200575,0,1379638634.6805637,23054.004926301215,1,423406713.86284935,18855.090954574665,1
ma,60000.0,1860497.9999998817,1,0,1426048614556.8252,0,0.0,143029941391.354,0,0,685122690.6233763,0,1379638634.6805637,23054.004926301215,1,423491972.16461647,9837.395522010453,1
poly,60000.0,2747515.739999857,1,0,1426048515297.296,0,0.0,143029941391.354,0,0,1225491047.1228318,0,1379638634.6805637,23054.004926301215,1,423326374.4848539,16395.719472966208,1
