,power_residuals_under,power_residuals_over,power_undersupply,sourceout_residuals_under,sourceout_residuals_over,sourceout_undersupply,enrichmentout_residuals_under,enrichmentout_residuals_over,enrichmentout_undersupply,mixerout_residuals_under,mixerout_residuals_over,mixerout_undersupply,lwrtru_residuals_under,lwrtru_residuals_over,lwrtru_undersupply,frtru_residuals_under,frtru_residuals_over,frtru_undersupply
arch,61333.24000000005,113312320.23999983,2,0,1428654210607.0696,0,16126182.000000047,141891033507.93176,1,33230998.476625267,182979680.11343262,140,1379008052.6420517,23054.004926301215,1,405898686.0425329,122968.46860859403,1
arma,174309.340000008,428783.61999988515,40,0,1426100350002.7017,0,16126182.000000047,143033255510.1937,1,0.0,1601431505.031109,0,1379644404.59894,23054.004926301215,1,422706757.19113904,11477.059380470715,1
exp_smoothing,149321.92000000368,749469.7799998728,21,0,2815226389020.404,0,16126182.000000047,286783255510.19385,1,0.0,1032325647.8494115,0,1379644404.5947678,23054.004926301215,1,422645272.91163284,14756.21382224664,1
fft,120000.0,131223428.97999744,2,0,1427090842988.703,0,32252364.000000093,141629184583.71606,2,3312249.5567002,219257860.30572185,5,1377735527.1094298,23054.004926301215,1,404882965.80143774,141003.6786648754,1
holt_winters,149321.92000000368,749469.7799998728,21,0,2815226389020.404,0,16126182.000000047,286783255510.19385,1,0.0,1032325647.8494115,0,1379644404.5947678,23054.004926301215,1,422645272.91163284,14756.213822246656,1
ma,119994.6000000017,461.3999998800937,11,0,1426100405205.9514,0,16126182.000000047,143033255510.1937,1,0.0,386320110.029352,0,1379644404.599014,23054.004926301215,1,422764962.30867034,14756.09328301568,1
poly,71999.16000000044,142368535.60000053,4,0,1428395851417.7095,0,16126182.000000047,141652547595.37173,1,11364838.039783329,110048652.86344859,9,1378606430.6859164,23054.004926301215,1,402905775.78889114,168876.29931057213,1
