,power_residuals_under,power_residuals_over,power_undersupply,sourceout_residuals_under,sourceout_residuals_over,sourceout_undersupply,enrichmentout_residuals_under,enrichmentout_residuals_over,enrichmentout_undersupply,mixerout_residuals_under,mixerout_residuals_over,mixerout_undersupply,lwrpu_residuals_under,lwrpu_residuals_over,lwrpu_undersupply,frpu_residuals_under,frpu_residuals_over,frpu_undersupply
arch,60000.0,118088672.41999978,1,0,1428605791592.4744,0,16126182.000000047,141840825947.39313,1,42987835.04720368,167095128.1479163,201,1379118310.4399986,20883.35374542782,1,406362264.8097535,123221.12787061674,1
arma,60000.0,127834361.2000014,1,0,1429761813180.4966,0,16126182.000000047,141727858936.18024,1,0.0,912681619.0578208,0,1378946560.9741416,20883.35374542782,1,818263390.3327252,123974.0831883316,1
exp_smoothing,60000.0,130866364.23999956,1,0,2817810114148.771,0,16126182.000000047,285440203265.7768,1,0.0,685062333.1033394,0,1378888924.4790225,20883.35374542782,1,820245126.9899676,91275.08521104093,1
fft,120000.0,135491790.0799971,2,0,1427052445292.06,0,32252364.000000093,141591528913.31195,2,5440088.406190607,169579366.1678734,5,1377890452.42271,20883.35374542782,1,405357471.6872565,142995.87348863046,1
holt_winters,60000.0,130866364.23999956,1,0,2817810114148.7715,0,16126182.000000047,285440203265.7768,1,0.0,685062332.3915933,0,1378888924.4793432,20883.35374542782,1,820245126.9899676,91275.08521104138,1
ma,61992.84000000161,76924456.33999974,7,0,1426703925593.3303,0,16126182.000000047,142242486431.70465,1,2242908711.501217,76867704.04852265,384,1379546264.8778577,20883.35374542782,1,420251673.3284435,13690.251712848218,1
poly,351328.60000000044,144399214.19999948,14,0,1429074066604.7668,0,16126182.000000047,141639995705.237,1,43257623.61107972,56430855.810049646,49,1378811819.2943568,20883.35374542782,1,403587715.0859319,181785.1696549864,1
