,power_residuals_under,power_residuals_over,power_undersupply,sourceout_residuals_under,sourceout_residuals_over,sourceout_undersupply,enrichmentout_residuals_under,enrichmentout_residuals_over,enrichmentout_undersupply,mixerout_residuals_under,mixerout_residuals_over,mixerout_undersupply,lwrpu_residuals_under,lwrpu_residuals_over,lwrpu_undersupply,frpu_residuals_under,frpu_residuals_over,frpu_undersupply
arch,61333.24000000005,111909625.51999989,2,0,1428649165603.1008,0,16126182.000000047,141891033507.93176,1,69513921.41022311,149533605.58665845,299,1379194741.3853722,20883.35374542782,1,406744101.6748148,114093.91892545564,1
arma,174309.340000008,428783.61999988515,40,0,1426097654982.0796,0,16126182.000000047,143033255510.1937,1,0.0,1494140310.5754352,0,1379771470.0430331,20883.35374542782,1,423016570.53367805,10648.784905950155,1
exp_smoothing,149321.92000000368,749469.7799998728,21,0,2815223663195.2334,0,16126182.000000047,286783255510.19385,1,0.0,960645473.1198633,0,1379771470.037133,20883.35374542782,1,422959523.1997438,13691.25029932511,1
fft,120000.0,131160427.71999744,2,0,1427084927481.3142,0,32252364.000000093,141629184583.71606,2,4761210.814737206,159825163.83260643,5,1377948007.7236638,20883.35374542782,1,405613043.461174,130826.32397340443,1
holt_winters,149321.92000000368,749469.7799998728,21,0,2815223663195.2334,0,16126182.000000047,286783255510.19385,1,0.0,960645473.1198633,0,1379771470.037133,20883.35374542782,1,422959523.1997438,13691.250299325073,1
ma,119994.6000000017,461.3999998800937,11,0,1426097751259.3347,0,16126182.000000047,143033255510.1937,1,0.0,359660623.10347915,0,1379771470.0430331,20883.35374542782,1,423070575.3398037,13690.251712848218,1
poly,135665.1800000006,141978859.22000054,7,0,1428389531148.7617,0,16126182.000000047,141652547595.37173,1,19622882.030432582,101871283.26775162,25,1378830866.099883,20883.35374542782,1,403809057.6106912,156685.6883198938,1
