,power_cumulative_undersupply,power_cumualtive_oversupply,power_undersupply,sourceout_cumulative_undersupply,sourceout_cumualtive_oversupply,sourceout_undersupply,enrichmentout_cumulative_undersupply,enrichmentout_cumualtive_oversupply,enrichmentout_undersupply,frmixerout_cumulative_undersupply,frmixerout_cumualtive_oversupply,frmixerout_undersupply,moxmixerout_cumulative_undersupply,moxmixerout_cumualtive_oversupply,moxmixerout_undersupply,lwrstorageout_cumulative_undersupply,lwrstorageout_cumualtive_oversupply,lwrstorageout_undersupply,frstorageout_cumulative_undersupply,frstorageout_cumualtive_oversupply,frstorageout_undersupply,moxstorageout_cumulative_undersupply,moxstorageout_cumualtive_oversupply,moxstorageout_undersupply
arch,506641.20000000385,1607913.8799999405,65,34394032.07596664,132328055970.04721,1,16126182.000000047,102751545581611.83,1,6728604.109460122,44500626.369600326,0,430080.0,117653720.0,0,138196971615.0,1791798.0000000019,1,42687755000.0,90850.0,0,42078167330.0,231910.0,0
arma,609630.5800000067,635882.4599999487,88,34394032.07596664,276024348925.8947,1,16126182.000000047,205928145581620.97,1,6285229.7623325735,26806291.63188309,0,231300.0,117853110.0,0,138196971615.0,1791798.0000000019,1,42688706950.0,75050.0,0,42078233590.0,198780.0,0
exp_smoothing,220329.68000000098,1279293.779999938,16,34394032.07596664,268646835103.45746,1,32252364.000000093,205713316265246.47,2,113399.99999999999,54090095.12850308,0,297560.0,120072820.0,0,276196971615.0,1791798.0000000019,1,85286838600.0,94800.0,0,84080188260.0,231910.0,0
fft,855969.0800000053,2547569.8199999467,91,34394032.07596664,132254819278.58731,1,32252364.000000093,102608466265237.31,2,15205587.109898271,39189108.50402908,0,463210.0,163464090.0,0,138096971615.0,1791798.0000000019,1,42687814250.0,106650.0,0,42076709610.0,265040.0,0
holt_winters,220329.68000000098,1279293.779999938,16,34394032.07596664,268646835103.45746,1,32252364.000000093,205713316265246.47,2,113399.99999999997,54090095.12850308,0,297560.0,120072820.0,0,276196971615.0,1791798.0000000019,1,85286838600.0,94800.0,0,84080188260.0,231910.0,0
ma,145997.44000000064,305.99999993041274,11,34394032.07596664,132320216202.425,1,16126182.000000047,102751545581611.83,1,184400.0,52116100.0,0,330080.0,121618340.0,0,138196971615.0,1791798.0000000019,1,42686348800.0,71100.0,0,42083037440.0,132520.0,0
poly,993974.0800000041,2538237.839999933,89,34394032.07596664,132324277777.7493,1,16126182.000000047,102751545581611.83,1,18676957.139140174,38259865.97728827,0,363820.0,116030350.0,0,138196971615.0,1791798.0000000019,1,42687992000.0,110600.0,0,42076775870.0,265040.0,0
