,power_residuals_under,power_residuals_over,power_undersupply,sourceout_residuals_under,sourceout_residuals_over,sourceout_undersupply,enrichmentout_residuals_under,enrichmentout_residuals_over,enrichmentout_undersupply,mixerout_residuals_under,mixerout_residuals_over,mixerout_undersupply,lwrpu_residuals_under,lwrpu_residuals_over,lwrpu_undersupply,frpu_residuals_under,frpu_residuals_over,frpu_undersupply
arch,60000.0,1320153.8599998665,1,0,1426045931618.7112,0,0.0,143029941391.354,0,0,1405024337.3307333,0,1379766198.039808,20883.35374542782,1,423903997.3169495,6845.31309138839,1
arma,67654.52000000424,1036469.2199998787,19,0,1426045988088.2537,0,0.0,143029941391.354,0,0,1425654904.5201344,0,1379766198.039808,20883.35374542782,1,423955720.2896346,9127.20894516082,1
exp_smoothing,70987.0200000045,1473477.059999874,21,0,2864045914955.577,0,0.0,143029941391.354,0,0,1343993962.9944503,0,1379766198.039808,20883.35374542782,1,423884981.51816905,9127.208945160835,1
fft,120333.22000000006,1751829.0399998804,3,0,1425046990259.3044,0,16126182.000000047,142929941391.354,1,0,1344046270.005113,0,1378766294.3768387,20883.35374542782,1,423830976.6496287,6845.313091388386,1
holt_winters,70987.0200000045,1473477.059999874,21,0,2864045914955.577,0,0.0,143029941391.354,0,0,1343993962.9944496,0,1379766198.039808,20883.35374542782,1,423884981.51816905,9127.208945160775,1
ma,79987.80000000427,920466.5999998839,21,0,1426046012157.25,0,0.0,143029941391.354,0,0,690472233.2646639,0,1379766198.039808,20883.35374542782,1,423981581.7759768,4563.417237616071,1
poly,60333.22000000006,1783496.3399998504,2,0,1426045839045.6702,0,0.0,143029941391.354,0,0,1235267302.0029237,0,1379766198.039808,20883.35374542782,1,423827934.12182343,7605.945042645826,1
