,power_residuals_under,power_residuals_over,power_undersupply,sourceout_residuals_under,sourceout_residuals_over,sourceout_undersupply,enrichmentout_residuals_under,enrichmentout_residuals_over,enrichmentout_undersupply,mixerout_residuals_under,mixerout_residuals_over,mixerout_undersupply,lwrpu_residuals_under,lwrpu_residuals_over,lwrpu_undersupply,frpu_residuals_under,frpu_residuals_over,frpu_undersupply
arch,127309.48000000825,426777.4599998866,41,0,1426046131576.087,0,0.0,143029941391.354,0,0,1512778364.7359333,0,1379766198.039808,20883.35374542782,1,424068293.5063633,760.5695396026766,1
arma,147297.2800000125,241094.47999988843,61,0,1426046166753.832,0,0.0,143029941391.354,0,0,1599238198.937183,0,1379766198.039808,20883.35374542782,1,422101761.312219,5324.361247147596,1
exp_smoothing,128316.10000000594,196779.45999988198,31,0,2864046166753.8477,0,0.0,143029941391.354,0,0,1549356392.3440502,0,1379766198.039808,20883.35374542782,1,422105564.4719756,6845.625149662573,1
fft,155975.52000000858,841785.7599998869,42,0,1425047185529.7585,0,16126182.000000047,142929941391.354,1,0,1457431353.7268593,0,1378766246.495103,20883.35374542782,1,423992230.3112379,760.5695396026766,1
holt_winters,128316.10000000594,196779.45999988198,31,0,2864046166753.8477,0,0.0,143029941391.354,0,0,1549356392.3440502,0,1379766198.039808,20883.35374542782,1,422105564.4719756,6845.62514966254,1
ma,119988.60000000385,448.19999988392374,21,0,1426046212115.2334,0,0.0,143029941391.354,0,0,740571257.700294,0,1379766198.039808,20883.35374542782,1,422152723.5905398,6845.125856424109,1
poly,114617.6000000172,883428.2999998934,78,0,1426046034374.6223,0,0.0,143029941391.354,0,0,1389050766.2172792,0,1379766198.039808,20883.35374542782,1,421988427.33871645,6845.437914697996,1
