,power_residuals_under,power_residuals_over,power_undersupply,sourceout_residuals_under,sourceout_residuals_over,sourceout_undersupply,enrichmentout_residuals_under,enrichmentout_residuals_over,enrichmentout_undersupply,mixerout_residuals_under,mixerout_residuals_over,mixerout_undersupply,lwrpu_residuals_under,lwrpu_residuals_over,lwrpu_undersupply,frpu_residuals_under,frpu_residuals_over,frpu_undersupply
arch,60000.0,2276506.319999842,1,0,1426045733512.8665,0,0.0,143029941391.354,0,0,1259931113.6313958,0,1379766198.039808,20883.35374542782,1,423741222.4538506,13690.62618277679,1
arma,60000.0,1982833.779999848,1,0,1426045791833.8796,0,0.0,143029941391.354,0,0,1260302499.1737685,0,1379766198.039808,20883.35374542782,1,423808917.9485723,18254.417890321696,1
exp_smoothing,60000.0,1953499.859999884,1,0,2864045799239.718,0,0.0,143029941391.354,0,0,1277655903.4531262,0,1379766198.039808,20883.35374542782,1,423812721.1083294,17493.78593906417,1
fft,120000.0,3186524.5199998603,2,0,1425046697670.694,0,16126182.000000047,142929941391.354,1,0,1058134888.0576265,0,1378766246.495103,20883.35374542782,1,423590617.32750183,14451.258134034266,1
holt_winters,60000.0,1953499.859999884,1,0,2864045799239.718,0,0.0,143029941391.354,0,0,1277655903.4531262,0,1379766198.039808,20883.35374542782,1,423812721.1083294,17493.78593906417,1
ma,60000.0,1860497.9999998817,1,0,1426045812199.9436,0,0.0,143029941391.354,0,0,632058808.3856261,0,1379766198.039808,20883.35374542782,1,423817285.64897513,9126.834475232143,1
poly,60000.0,2637513.539999858,1,0,1426045655751.5225,0,0.0,143029941391.354,0,0,1190645800.1957762,0,1379766198.039808,20883.35374542782,1,423680371.8977506,15211.89008529186,1
