,power_residuals_under,power_residuals_over,power_undersupply,sourceout_residuals_under,sourceout_residuals_over,sourceout_undersupply,enrichmentout_residuals_under,enrichmentout_residuals_over,enrichmentout_undersupply,mixerout_residuals_under,mixerout_residuals_over,mixerout_undersupply,lwrpu_residuals_under,lwrpu_residuals_over,lwrpu_undersupply,frpu_residuals_under,frpu_residuals_over,frpu_undersupply
arch,60000.0,2276506.319999842,1,0,1426045733512.8665,0,0.0,143029941391.354,0,0,1259931113.6313958,0,1379766198.039808,20883.35374542782,1,423741222.4538506,13690.626182776794,1
arma,60000.0,2239172.239999841,1,0,1426045741844.4329,0,0.0,143029941391.354,0,0,1229872447.77794,0,1379766198.039808,20883.35374542782,1,423748068.14141166,18254.417890321696,1
exp_smoothing,60000.0,2254839.2199998414,1,0,2864045739992.9766,0,0.0,143029941391.354,0,0,1191192765.431808,0,1379766198.039808,20883.35374542782,1,423760237.5036925,15972.52203654917,1
fft,120000.0,2479177.039999852,2,0,1425046831901.5906,0,16126182.000000047,142929941391.354,1,0,1226639619.9353464,0,1378766246.495103,20883.35374542782,1,423708515.2799462,9126.834475232143,1
holt_winters,60000.0,2254839.2199998414,1,0,2864045739992.9766,0,0.0,143029941391.354,0,0,1191192765.431808,0,1379766198.039808,20883.35374542782,1,423760237.5036925,15972.52203654917,1
ma,60000.0,1860497.9999998817,1,0,1426045812199.9436,0,0.0,143029941391.354,0,0,632058808.3856261,0,1379766198.039808,20883.35374542782,1,423817285.64897513,9126.834475232143,1
poly,60000.0,2614513.0799998534,1,0,1426045661305.8992,0,0.0,143029941391.354,0,0,1240303382.2721906,0,1379766198.039808,20883.35374542782,1,423681893.1616527,9126.834475232143,1
