,power_residuals_under,power_residuals_over,power_undersupply,sourceout_residuals_under,sourceout_residuals_over,sourceout_undersupply,enrichmentout_residuals_under,enrichmentout_residuals_over,enrichmentout_undersupply,mixerout_residuals_under,mixerout_residuals_over,mixerout_undersupply,lwrpu_residuals_under,lwrpu_residuals_over,lwrpu_undersupply,frpu_residuals_under,frpu_residuals_over,frpu_undersupply
arch,60000.0,2276506.319999842,1,0,1426045733512.8665,0,0.0,143029941391.354,0,0,1259931113.6313958,0,1379766198.039808,20883.35374542782,1,423741222.4538506,13690.626182776794,1
arma,60000.0,2082169.0999998713,1,0,1426045776096.4473,0,0.0,143029941391.354,0,0,1290258271.6822364,0,1379766198.039808,20883.35374542782,1,423791423.4136931,18254.417890321696,1
exp_smoothing,60000.0,2235505.499999842,1,0,2864045746473.099,0,0.0,143029941391.354,0,0,1194073822.2345772,0,1379766198.039808,20883.35374542782,1,423764801.2954,17493.78593906417,1
fft,120000.0,2725515.299999857,2,0,1425046781970.435,0,16126182.000000047,142929941391.354,1,0,1200257733.51887,0,1378766294.3772235,20883.35374542782,1,423661356.0989686,12169.36228026191,1
holt_winters,60000.0,2235505.499999842,1,0,2864045746473.099,0,0.0,143029941391.354,0,0,1194073822.2345772,0,1379766198.039808,20883.35374542782,1,423764801.2954,17493.78593906417,1
ma,60000.0,1860497.9999998817,1,0,1426045812199.9436,0,0.0,143029941391.354,0,0,632058808.3856261,0,1379766198.039808,20883.35374542782,1,423817285.64897513,9126.834475232143,1
poly,60000.0,2691847.9599998565,1,0,1426045648345.6711,0,0.0,143029941391.354,0,0,1146827352.9540424,0,1379766198.039808,20883.35374542782,1,423671244.3143352,13690.62618277679,1
