,power_residuals_under,power_residuals_over,power_undersupply,sourceout_residuals_under,sourceout_residuals_over,sourceout_undersupply,enrichmentout_residuals_under,enrichmentout_residuals_over,enrichmentout_undersupply,mixerout_residuals_under,mixerout_residuals_over,mixerout_undersupply,lwrpu_residuals_under,lwrpu_residuals_over,lwrpu_undersupply,frpu_residuals_under,frpu_residuals_over,frpu_undersupply
arch,60000.0,2276506.319999842,1,0,1426045733512.8665,0,0.0,143029941391.354,0,0,1259931113.6313958,0,1379766198.039808,20883.35374542782,1,423741222.4538506,13690.62618277679,1
arma,60000.0,1991167.2799998482,1,0,1426045788130.9495,0,0.0,143029941391.354,0,0,1279868118.1769276,0,1379766198.039808,20883.35374542782,1,423809678.580524,18254.417890321696,1
exp_smoothing,60000.0,2424842.61999986,1,0,2864045714998.272,0,0.0,143029941391.354,0,0,1179858842.9628222,0,1379766198.039808,20883.35374542782,1,423738179.1771054,17493.78593906417,1
fft,120000.0,2722181.8999998565,2,0,1425046786599.0828,0,16126182.000000047,142929941391.354,1,0,1262175272.0168035,0,1378766294.3772235,20883.35374542782,1,423660595.4670174,13690.62618277679,1
holt_winters,60000.0,2424842.61999986,1,0,2864045714998.272,0,0.0,143029941391.354,0,0,1179858842.9628222,0,1379766198.039808,20883.35374542782,1,423738179.1771054,17493.78593906417,1
ma,60000.0,1860497.9999998817,1,0,1426045812199.9436,0,0.0,143029941391.354,0,0,632058808.3856261,0,1379766198.039808,20883.35374542782,1,423817285.64897513,9126.834475232143,1
poly,60000.0,2747515.739999857,1,0,1426045639088.366,0,0.0,143029941391.354,0,0,1121775455.004357,0,1379766198.039808,20883.35374542782,1,423663637.9948223,15211.89008529186,1
