,power_residuals_under,power_residuals_over,power_undersupply,sourceout_residuals_under,sourceout_residuals_over,sourceout_undersupply,enrichmentout_residuals_under,enrichmentout_residuals_over,enrichmentout_undersupply,mixerout_residuals_under,mixerout_residuals_over,mixerout_undersupply,lwrtru_residuals_under,lwrtru_residuals_over,lwrtru_undersupply,frtru_residuals_under,frtru_residuals_over,frtru_undersupply
arch,127309.48000000825,446444.5199998869,41,0,1426048795028.6313,0,0.0,143029941391.354,0,0,1659348779.4044414,0,1379638634.6805637,23054.004926301215,1,482759223.7752127,819.7829601675376,1
arma,147297.2800000125,241094.47999988843,61,0,1426048817853.0269,0,0.0,143029941391.354,0,0,1707478599.8046064,0,1379638634.6805637,23054.004926301215,1,421798573.72645265,5738.52592338437,1
exp_smoothing,128316.10000000594,196779.45999988198,31,0,2864048817853.034,0,0.0,143029941391.354,0,0,1656180734.8701794,0,1379638634.6805637,23054.004926301215,1,421802672.67892236,7378.106911123348,1
fft,155642.18000000855,863786.1999998873,42,0,1425049887893.5232,0,16126182.000000047,142929941391.354,1,0,1603970956.5460484,0,1378638646.9010472,23054.004926301215,1,482676424.93533194,819.7829601675376,1
holt_winters,128316.10000000594,196779.45999988198,31,0,2864048817853.034,0,0.0,143029941391.354,0,0,1656180734.8701794,0,1379638634.6805637,23054.004926301215,1,421802672.67892236,7378.106911123328,1
ma,119988.60000000385,448.19999988392374,21,0,1426048843862.2368,0,0.0,143029941391.354,0,0,793370452.1005392,0,1379638634.6805637,23054.004926301215,1,421853499.6820086,7378.04664150784,1
poly,114950.9400000172,900761.9799998933,78,0,1426048739825.4773,0,0.0,143029941391.354,0,0,1580204843.6197379,0,1379638634.6805637,23054.004926301215,1,477673965.56385034,819.7829601675376,1
