,power_residuals_under,power_residuals_over,power_undersupply,sourceout_residuals_under,sourceout_residuals_over,sourceout_undersupply,enrichmentout_residuals_under,enrichmentout_residuals_over,enrichmentout_undersupply,mixerout_residuals_under,mixerout_residuals_over,mixerout_undersupply,lwrtru_residuals_under,lwrtru_residuals_over,lwrtru_undersupply,frtru_residuals_under,frtru_residuals_over,frtru_undersupply
arch,61333.24000000005,113312320.23999983,2,0,1428654210607.0696,0,16126182.000000047,141891033507.93176,1,33230998.47662519,182979680.1134327,140,1379008052.6420517,23054.004926301215,1,405898686.0425329,122968.46860859403,1
arma,174309.340000008,428783.61999988515,40,0,1426100350002.702,0,16126182.000000047,143033255510.1937,1,0.0,1601431504.8604627,0,1379644404.599014,23054.004926301215,1,422706757.19113904,11477.059380470711,1
exp_smoothing,149321.92000000368,749469.7799998728,21,0,2815226389020.404,0,16126182.000000047,286783255510.19385,1,0.0,1032325648.1218244,0,1379644404.5945902,23054.004926301215,1,422645272.91163284,14756.213822246662,1
fft,120000.0,131223428.97999744,2,0,1427090842984.936,0,32252364.000000093,141629184583.71606,2,3312082.1395468246,219264682.55472228,5,1377735521.2916837,23054.004926301215,1,404882965.80143774,141003.6786648757,1
holt_winters,149321.92000000368,749469.7799998728,21,0,2815226389020.404,0,16126182.000000047,286783255510.19385,1,0.0,1032325647.8494117,0,1379644404.5947678,23054.004926301215,1,422645272.91163284,14756.213822246662,1
ma,119994.6000000017,461.3999998800937,11,0,1426100405205.9512,0,16126182.000000047,143033255510.1937,1,0.0,386320110.3706481,0,1379644404.598421,23054.004926301215,1,422764962.30867034,14756.09328301568,1
poly,71999.16000000044,142368535.60000053,4,0,1428395851417.7097,0,16126182.000000047,141652547595.37173,1,11364838.039783321,110048652.82115646,9,1378606430.6859899,23054.004926301215,1,402905775.78889114,168876.29931057218,1
