,power_residuals_under,power_residuals_over,power_undersupply,sourceout_residuals_under,sourceout_residuals_over,sourceout_undersupply,enrichmentout_residuals_under,enrichmentout_residuals_over,enrichmentout_undersupply,mixerout_residuals_under,mixerout_residuals_over,mixerout_undersupply,lwrtru_residuals_under,lwrtru_residuals_over,lwrtru_undersupply,frtru_residuals_under,frtru_residuals_over,frtru_undersupply
arch,60000.0,119368364.68000005,1,0,1428611117614.5847,0,16126182.000000047,141840825947.39313,1,19312036.577304315,212112846.63865593,88,1378923426.7274718,23054.004926301215,1,405533059.52746904,132805.90933281629,1
arma,60000.0,127834361.2000014,1,0,1429767381140.258,0,16126182.000000047,141727858936.18024,1,0.0,1089570621.4300692,0,1378733415.9285648,23054.004926301215,1,817583887.4647341,133624.77318134677,1
exp_smoothing,60000.0,130866364.23999956,1,0,2817815723739.9067,0,16126182.000000047,285440203265.7768,1,0.0,803361042.2457252,0,1378669842.813822,23054.004926301215,1,819564211.5059667,98374.7688599135,1
fft,120000.0,135556791.3799971,2,0,1427058522500.5623,0,32252364.000000093,141591528913.31195,2,3637469.7869836297,230172397.61607763,5,1377672138.6121979,23054.004926301215,1,404607516.26330066,154120.25876346987,1
holt_winters,60000.0,130866364.23999956,1,0,2817815723739.9062,0,16126182.000000047,285440203265.7768,1,0.0,803361042.6801779,0,1378669842.8136775,23054.004926301215,1,819564211.5059667,98374.76885991379,1
ma,60000.0,78088820.15999955,1,0,1426708013476.954,0,16126182.000000047,142242486431.70465,1,1926225680.3832061,86851119.6481668,371,1379383091.2575917,23054.004926301215,1,419491538.86664975,14756.09328301568,1
poly,157998.24000000066,145194236.93999952,8,0,1429080463703.7812,0,16126182.000000047,141639995705.237,1,25279280.4488134,92450708.30466455,27,1378585347.7910123,23054.004926301215,1,402600813.89091307,195929.21986682163,1
