,power_residuals_under,power_residuals_over,power_undersupply,sourceout_residuals_under,sourceout_residuals_over,sourceout_undersupply,enrichmentout_residuals_under,enrichmentout_residuals_over,enrichmentout_undersupply,mixerout_residuals_under,mixerout_residuals_over,mixerout_undersupply,lwrtru_residuals_under,lwrtru_residuals_over,lwrtru_undersupply,frtru_residuals_under,frtru_residuals_over,frtru_undersupply
arch,60000.0,123927398.26000051,1,0,1428632282207.2034,0,16126182.000000047,141803170276.98865,1,15660888.48616902,189576728.00719315,74,1378860406.8480506,23054.004926301215,1,405231376.7010623,145102.69140383843,1
arma,63000.0,133269393.03999835,2,0,1429938336793.4204,0,16126182.000000047,141677651375.64136,1,1154628.643343944,1167531846.368787,1,1378648685.7820015,23054.004926301215,1,817279745.3647832,140182.9238571579,1
exp_smoothing,60000.0,138997725.79999882,1,0,2817740556600.9365,0,16126182.000000047,285352340034.8334,1,0.0,1004113762.6932707,0,1378521906.6804914,23054.004926301215,1,819303518.1515179,103293.48922202495,1
fft,120000.0,138859485.69999892,2,0,1427111829860.6567,0,32252364.000000093,141566425133.04236,2,4548853.82828949,215932273.4906206,5,1377630028.190268,23054.004926301215,1,404349282.33306885,167236.8313283607,1
holt_winters,60000.0,138997725.79999882,1,0,2817740556600.9365,0,16126182.000000047,285352340034.8334,1,0.0,1004113762.6932707,0,1378521906.6804914,23054.004926301215,1,819303518.1515179,103293.48922202495,1
ma,60000.0,81158823.95999984,1,0,1426675903356.78,0,16126182.000000047,142204830761.30035,1,2238319115.66007,77134810.35428153,384,1379383091.288251,23054.004926301215,1,419470224.31380904,14756.09328301568,1
poly,303327.6400000008,148827597.69999695,14,0,1429112334674.3682,0,16126182.000000047,141614891924.9674,1,39472808.17234397,70795372.79176216,39,1378543090.8195095,23054.004926301215,1,402283555.0526563,210685.3658857517,1
