,power_residuals_under,power_residuals_over,power_undersupply,sourceout_residuals_under,sourceout_residuals_over,sourceout_undersupply,enrichmentout_residuals_under,enrichmentout_residuals_over,enrichmentout_undersupply,mixerout_residuals_under,mixerout_residuals_over,mixerout_undersupply,lwrtru_residuals_under,lwrtru_residuals_over,lwrtru_undersupply,frtru_residuals_under,frtru_residuals_over,frtru_undersupply
arch,65666.58000000005,8939504.979999783,3,0,1430981349070.7036,0,0.0,142942078160.41077,0,0,1780871327.901523,0,1379490707.7858133,23054.004926301215,1,420420650.3012451,819.7829601675376,1
arma,68000.0,9863837.639999637,3,0,1430842233289.4597,0,0.0,142929526270.27606,0,0,1825335231.8208053,0,1379469574.5393233,23054.004926301215,1,410428028.5738981,30332.090065429842,1
exp_smoothing,66999.98000000001,9876504.55999963,3,0,2868842234350.9575,0,0.0,142929526270.27606,0,0,1792608030.084891,0,1379469574.5393233,23054.004926301215,1,411423929.485821,24593.69221497835,1
fft,121666.60000000003,7380845.639999813,3,0,1430603099519.4348,0,16126182.000000047,142867181940.68015,1,0,1655491792.3256524,0,1378532974.7531796,23054.004926301215,1,421364904.54766154,8197.844669079232,1
holt_winters,66999.98000000001,9876504.55999963,3,0,2868842234350.9575,0,0.0,142929526270.27606,0,0,1792608030.084891,0,1379469574.5393233,23054.004926301215,1,411423929.485821,24593.69221497835,1
ma,62999.94000000003,5655496.979999762,2,0,1430842329952.387,0,0.0,142979733830.81503,0,0,816920453.4633543,0,1379554101.694316,23054.004926301215,1,421509187.6745832,7378.04664150784,1
poly,62333.26000000004,7390179.139999814,2,0,1430756623639.555,0,0.0,142967181940.6803,0,0,1619027118.4820278,0,1379532968.4477541,23054.004926301215,1,421359985.8046986,9017.650230352563,1
