,power_residuals_under,power_residuals_over,power_undersupply,sourceout_residuals_under,sourceout_residuals_over,sourceout_undersupply,enrichmentout_residuals_under,enrichmentout_residuals_over,enrichmentout_undersupply,mixerout_residuals_under,mixerout_residuals_over,mixerout_undersupply,lwrtru_residuals_under,lwrtru_residuals_over,lwrtru_undersupply,frtru_residuals_under,frtru_residuals_over,frtru_undersupply
arch,65999.66000000018,5121485.959999893,4,0,1431077804878.6453,0,0.0,142979733830.815,0,0,1760522178.7078352,0,1379554107.5254157,23054.004926301215,1,420596085.4669326,4098.929868241557,1
arma,74654.64000000418,4922136.779999938,20,0,1431013627102.2083,0,0.0,142979733830.81503,0,0,1793773407.375469,0,1379554107.525428,23054.004926301215,1,420635435.41063815,1639.5659203350751,1
exp_smoothing,77987.2000000044,5085805.879999892,21,0,2869013614363.055,0,0.0,142979733830.81503,0,0,1717144415.9198806,0,1379554107.525428,23054.004926301215,1,420606742.74335355,2459.348880502613,1
fft,132000.0,31205175.320000175,4,0,1427938626316.8792,0,16126182.000000047,142553384687.31174,1,0,1852953590.1461282,0,1378383091.276379,23054.004926301215,1,410379660.9347585,50007.0619182974,1
holt_winters,77987.2000000044,5085805.879999892,21,0,2869013614363.055,0,0.0,142979733830.81503,0,0,1717144415.9198806,0,1379554107.525428,23054.004926301215,1,420606742.74335355,2459.348880502613,1
ma,81987.88000000422,2818466.1999998894,21,0,1431013674635.6436,0,0.0,143004837611.0844,0,0,805145452.7819484,0,1379596368.18744,23054.004926301215,1,421681343.67829597,7378.04664150784,1
poly,65333.12000000011,5613495.9399999725,4,0,1431013544297.468,0,0.0,142979733830.81503,0,0,1703842887.8461828,0,1379554107.525428,23054.004926301215,1,420502629.35816485,3279.1544417759583,1
