,power_residuals_under,power_residuals_over,power_undersupply,sourceout_residuals_under,sourceout_residuals_over,sourceout_undersupply,enrichmentout_residuals_under,enrichmentout_residuals_over,enrichmentout_undersupply,mixerout_residuals_under,mixerout_residuals_over,mixerout_undersupply,lwrtru_residuals_under,lwrtru_residuals_over,lwrtru_undersupply,frtru_residuals_under,frtru_residuals_over,frtru_undersupply
arch,127976.20000000822,1378777.33999989,41,0,1431099357593.2385,0,0.0,143017389501.21915,0,0,1681419455.8912137,0,1379617501.434002,23054.004926301215,1,421764142.53324306,5738.518389682437,1
arma,147297.2800000125,241094.47999988843,61,0,1426048817853.0269,0,0.0,143029941391.354,0,0,1707478599.8046064,0,1379638634.6805637,23054.004926301215,1,421798573.72645265,5738.525923384369,1
exp_smoothing,128316.10000000594,196779.45999988198,31,0,2864048817853.034,0,0.0,143029941391.354,0,0,1656180734.8701794,0,1379638634.6805637,23054.004926301215,1,421802672.67892236,7378.106911123348,1
fft,153312.76000000653,28259133.79999948,29,0,1428131360288.381,0,16126182.000000047,142578488467.58112,1,0,1976015245.972748,0,1378383091.2844658,23054.004926301215,1,410574771.0346312,41809.194648112345,1
holt_winters,128316.10000000594,196779.45999988198,31,0,2864048817853.034,0,0.0,143029941391.354,0,0,1656180734.8701794,0,1379638634.6805637,23054.004926301215,1,421802672.67892236,7378.10691112335,1
ma,119988.60000000385,448.19999988392374,21,0,1426048843862.2368,0,0.0,143029941391.354,0,0,793370452.1005392,0,1379638634.6805637,23054.004926301215,1,421853499.6820086,7378.04664150784,1
poly,112951.5200000169,1930097.3199998839,76,0,1430467968618.9214,0,0.0,143017389501.21915,0,0,1566290217.337564,0,1379617507.2641447,23054.004926301215,1,421662488.5044705,4098.944935645461,1
