,power_residuals_under,power_residuals_over,power_undersupply,sourceout_residuals_under,sourceout_residuals_over,sourceout_undersupply,enrichmentout_residuals_under,enrichmentout_residuals_over,enrichmentout_undersupply,mixerout_residuals_under,mixerout_residuals_over,mixerout_undersupply,lwrtru_residuals_under,lwrtru_residuals_over,lwrtru_undersupply,frtru_residuals_under,frtru_residuals_over,frtru_undersupply
arch,65666.58000000005,8939504.979999783,3,0,1430981349070.7036,0,0.0,142942078160.41077,0,0,1780871327.622192,0,1379490707.7859044,23054.004926301215,1,420420650.3012451,819.7829601675376,1
arma,68000.0,9680833.979999676,3,0,1430842257175.4854,0,0.0,142929526270.27606,0,0,1930310524.4031024,0,1379469574.5393233,23054.004926301215,1,410463279.61033714,24593.51140613198,1
exp_smoothing,68000.0,10042507.880000072,3,0,2868842220550.3145,0,0.0,142929526270.27606,0,0,1754996971.9385858,0,1379469574.5393233,23054.004926301215,1,410400155.7649101,31971.603249851483,1
fft,132000.0,34175863.00000005,4,0,1427745892345.3745,0,16126182.000000047,142528280907.04218,1,0,1716724870.4379761,0,1378383091.2736964,23054.004926301215,1,410182911.261433,58204.92165478028,1
holt_winters,68000.0,10042507.880000072,3,0,2868842220550.3145,0,0.0,142929526270.27606,0,0,1754996971.9385858,0,1379469574.5393233,23054.004926301215,1,410400155.7649101,31971.60324985151,1
ma,62999.94000000003,5655496.979999762,2,0,1430842329952.387,0,0.0,142979733830.81503,0,0,816920453.4633543,0,1379554101.694316,23054.004926301215,1,421509187.6745832,7378.04664150784,1
poly,64666.580000000045,9445181.779999884,3,0,1430917083181.555,0,0.0,142942078160.41092,0,0,1801885432.8213654,0,1379490707.7858753,23054.004926301215,1,419322275.4495142,2459.3639479064855,1
