,power_residuals_under,power_residuals_over,power_undersupply,sourceout_residuals_under,sourceout_residuals_over,sourceout_undersupply,enrichmentout_residuals_under,enrichmentout_residuals_over,enrichmentout_undersupply,mixerout_residuals_under,mixerout_residuals_over,mixerout_undersupply,lwrpu_residuals_under,lwrpu_residuals_over,lwrpu_undersupply,frpu_residuals_under,frpu_residuals_over,frpu_undersupply
arch,60000.0,122700040.38000007,1,0,1428626767690.567,0,16126182.000000047,141803170276.98865,1,38251025.44414507,143471802.06989998,162,1379060729.594863,20883.35374542782,1,406081592.24385583,134629.9830229315,1
arma,63000.0,133269393.03999835,2,0,1429932584220.7188,0,16126182.000000047,141677651375.64136,1,1493518.8067789916,987022082.3141646,1,1378869209.1893988,20883.35374542782,1,817981197.3142751,130057.70333033214,1
exp_smoothing,60000.0,138997725.79999882,1,0,2817734754082.8457,0,16126182.000000047,285352340034.8334,1,0.0,878370230.4562021,0,1378754891.7142637,20883.35374542782,1,820003246.2167027,95838.68968362117,1
fft,120000.0,138789484.29999894,2,0,1427105608769.153,0,32252364.000000093,141566425133.04236,2,6460510.30116996,153034544.0247805,6,1377852043.0736814,20883.35374542782,1,405117873.24672693,155165.36059220176,1
holt_winters,60000.0,138997725.79999882,1,0,2817734754082.8457,0,16126182.000000047,285352340034.8334,1,0.0,878370230.4562021,0,1378754891.7142637,20883.35374542782,1,820003246.2167027,95838.68968362117,1
ma,89645.66000000469,80052113.55999961,19,0,1426671772654.8289,0,16126182.000000047,142204830761.30035,1,2576464102.9154954,68742432.83740711,391,1379546264.0577984,20883.35374542782,1,420202232.2516117,13690.251712848218,1
poly,660323.5000000009,147264221.81999713,24,0,1429105964492.1968,0,16126182.000000047,141614891924.9674,1,73750213.07249694,45982427.06503142,69,1378773397.3540468,20883.35374542782,1,403459168.9726975,195475.858249416,1
